MID,Q1c1,Q1c2,Q1c3,Q1c4,Q1c5,Q1c6,Q1c7,Q1c8,Q1c9,Q1c10,Q1c11,Q1c12,Q1c13,Q1c14,Q1c15,Q1c16,Q1t15,Q1_1,Q5_1t1,Q6s1c1,Q6s1c2,Q6s1c3,Q6s1c4,Q6s1c5,Q6s1c6,Q6s1c7,Q6s1c8,Q6s1c9,Q6s1c10,Q6s2c1,Q6s2c2,Q6s2c3,Q6s2c4,Q6s2c5,Q6s2c6,Q6s2c7,Q6s2c8,Q6s2c9,Q6s2c10,Q6s3c1,Q6s3c2,Q6s3c3,Q6s3c4,Q6s3c5,Q6s3c6,Q6s3c7,Q6s3c8,Q6s3c9,Q6s3c10,Q6s4c1,Q6s4c2,Q6s4c3,Q6s4c4,Q6s4c5,Q6s4c6,Q6s4c7,Q6s4c8,Q6s4c9,Q6s4c10,Q6s5c1,Q6s5c2,Q6s5c3,Q6s5c4,Q6s5c5,Q6s5c6,Q6s5c7,Q6s5c8,Q6s5c9,Q6s5c10,Q6s6c1,Q6s6c2,Q6s6c3,Q6s6c4,Q6s6c5,Q6s6c6,Q6s6c7,Q6s6c8,Q6s6c9,Q6s6c10,Q6s7c1,Q6s7c2,Q6s7c3,Q6s7c4,Q6s7c5,Q6s7c6,Q6s7c7,Q6s7c8,Q6s7c9,Q6s7c10,Q6s8c1,Q6s8c2,Q6s8c3,Q6s8c4,Q6s8c5,Q6s8c6,Q6s8c7,Q6s8c8,Q6s8c9,Q6s8c10,Q6s9c1,Q6s9c2,Q6s9c3,Q6s9c4,Q6s9c5,Q6s9c6,Q6s9c7,Q6s9c8,Q6s9c9,Q6s9c10,Q6s10c1,Q6s10c2,Q6s10c3,Q6s10c4,Q6s10c5,Q6s10c6,Q6s10c7,Q6s10c8,Q6s10c9,Q6s10c10,Q6ht9,FS1,FS2t1,BLK,af2,SC3,SC4s1,SC4s2,SC4s3,SC4s4,SC4s5,SC4s6,SC4s7,SC4s8,SC4s9,SC4s10,SC4s11,asc5s1,nsc5s1,SC7c1,SC7c2,SC7c3,SC7c4,SC7c5,SC7c6,SC7c7,SC7c8,SC7t8,SC8c1,SC8c2,SC8c3,SC8c4,SC8c5,SC8c6,SC8c7,SC8c8,SC8c9,SC8c10,SC8c11,SC8t10,nsc9c1,nsc9c2,nsc9c3,nsc9c4,nsc9c5,nsc9c6,nsc9c7,nsc9c8,nsc9c9,nsc9c10,nsc9c11,asc10
$$BGcc4e9uO820GehuxCWg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,5,1,2,2,6,6,6,6,6,6,6,6,6,6,4,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,11
$0$VbG8$Mm4kgXwtdaNcbw,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,7,ほのかに甘みがある。ちょうどいい量で使い切れる。,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,5,1,2,6,5,6,5,2,3,6,4,3,6,3,5,1,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,1,0,0,9
$1qTHI0Ls1aJM7$fPu_8Yg,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,ダイエット食品,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,66,4,4,3,2,2,4,2,2,3,2,2,3,3,3,6,1,1,0,0,0,0,0,0,1,酒のつまみ,1,1,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,0,1,0,0,9
$9LJ_6SHFJ5JOAkLm_S9ag,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,,1,手ごろ,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,3,1,2,2,3,4,3,3,4,3,3,3,3,3,5,1,1,1,0,0,0,1,0,0,,1,1,1,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,3
$aOB0EvR1yW8FjMBmIVblw,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,味が美味しい,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,3,3,4,3,3,3,3,3,3,3,3,2,3,3,5,1,1,1,1,0,0,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,,1,1,1,1,1,1,0,0,0,0,0,6
$fNDH0t$QiAZEPAcqn42Lg,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,,2,辛くないので食べやすい,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前に買ったことがあったから,2,51,4,1,3,2,2,3,2,3,3,3,2,3,3,3,6,1,1,0,1,0,1,1,0,0,,1,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,0,0,0,1,0,0,9
$jimH33ZBFmDQsNTzenOmw,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,5,特売の時が多い 白菜がシャキシャキして好きです,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,3,1,1,2,2,4,4,3,4,3,5,2,6,5,6,1,1,0,1,0,1,0,0,0,,1,1,1,0,1,1,1,0,0,0,0,,1,1,0,0,0,0,1,0,0,1,0,10
$jimH33ZBFn0TPMvASb1wA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,コクがあっておいしいから,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,6,1,1,2,4,2,3,1,3,2,2,2,2,2,3,1,1,0,0,0,1,0,0,0,,1,0,1,0,0,0,1,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,3
$Kz1YkoariZZPJugQIgiFg,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,うまみ、辛さが良いから,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,63,3,2,4,6,6,5,4,3,4,3,3,4,5,6,6,1,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,2
$oWnWV4xjVWbcTlJzKDBHQ,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,食べやすい量が気に入っている,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,4,1,3,3,3,6,3,4,6,6,6,1,6,6,3,1,1,0,1,0,0,1,0,0,,1,1,1,1,0,1,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,11
$qQyE3bXKyYymJpjWeJYhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,自分の好み味,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,3,1,2,3,3,3,3,2,3,3,3,2,4,4,4,1,1,0,0,0,0,0,0,0,,1,1,1,0,1,1,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,2
$Qzd_da_o0QhNt63ztrmfw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,美味しい,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,3,1,2,1,2,6,5,5,4,4,6,5,6,6,3,1,1,0,1,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,3
$R4Yz$y2ILxFFNg$Eb71qg,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,1,美味しいし、価格が手ごろ。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,5,1,2,3,3,4,3,2,3,3,3,2,3,3,5,1,1,0,1,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,3
$rhSJcXq6GKc7Y_bNtc7kg,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,味が辛くなく和テイストで食べやすいため,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,3,3,2,2,2,2,1,2,1,2,1,2,2,2,5,1,1,0,0,0,0,0,0,0,,1,0,1,0,1,1,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,1
$SvmwR9z6oZ3zTtykYRM6Q,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,,10,白菜の味わいが美味しく食べ飽きない味がある,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,44,3,1,2,5,5,3,3,3,1,2,2,2,3,2,6,1,1,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,1,0,0,0,,0,1,1,1,1,1,0,1,0,0,0,3
$TJ1C6eYNCUU43_HbMrPvw,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,,7,おいしい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,4,2,4,2,2,4,1,3,3,6,6,1,5,3,4,1,1,1,1,0,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,3
$tJiPtEejal9nTY2Xw2Y2Q,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,辛さは少ないけど旨味があっておいしいから,1,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,3,1,2,1,1,6,3,3,4,3,4,2,6,5,5,1,1,1,1,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,3
